timestamp,ema50_dist_xrp_btc_15m,ema200_dist_xrp_btc_15m,upper_bb_dist_xrp_btc_15m,lower_bb_dist_xrp_btc_15m,width_bb_xrp_btc_15m,rsi_xrp_btc_15m,stoch_rsi_fastk_xrp_btc_15m,stoch_rsi_fastd_xrp_btc_15m,kijun_dist_xrp_btc_15m,tenkan_dist_xrp_btc_15m
2019-02-10 11:45:00,0.4244169855947222,1.463195657997729,0.31982100206808806,-1.0131862142617076,1.33764459748065,49.55924354099791,100.0,100.00000000000004,0.13747758517632658,0.22115959354453985
2019-02-10 12:00:00,0.4423891369934374,1.4846758221277234,0.10734706629880186,-0.8093322373104783,0.9199081128789455,48.74283737391688,79.35898929691311,93.11966309897109,0.173403491987556,0.2571155226022359
2019-02-10 12:15:00,0.8190268600455353,1.8801029588499496,0.5160466100372796,-0.40437514029662003,0.9199081128789455,40.583209645511396,0.0,59.78632976563775,0.5823727185398475,0.6664265129682878
2019-02-10 12:30:00,0.8800479092017754,1.958382361521216,0.6054779879933303,-0.3230260649163985,0.9271946134016218,38.93178191100247,0.0,26.452996432304417,0.6790865384615374,0.7632211538461497
2019-02-10 12:45:00,0.8106002775756904,1.9025110589808714,0.5624437870560772,-0.33416071604799313,0.8955822717474051,39.91911894280376,9.290431395344584,3.0968104651149084,0.6427970683647644,0.7269013576835182
2019-02-10 13:00:00,0.8370335049499467,1.94422532040186,0.6170104531478593,-0.2575490441552475,0.872990465389468,38.79337107757595,0.0,3.0968104651149084,0.7032940610723681,0.7874489059870093
2019-02-10 13:15:00,0.9324991443892428,2.0585295365027845,0.7463903383768011,-0.16374919235534469,0.9074958087420759,36.3637622411945,0.0,3.0968104651149084,0.8366437943902572,0.9209100758396538
2019-02-10 13:30:00,0.8142826633781741,1.9529731467069267,0.644330646898017,-0.21132607629418265,0.8538082089078278,38.9826808327578,73.66120508746417,24.55373502915477,0.7517440461871638,0.8359393793601289
2019-02-10 13:45:00,0.7707010885193988,1.921401249676169,0.6275794803889179,-0.21146402639012907,0.8373014364422579,39.366579157906955,84.45894937498925,52.70671815415119,0.7396271797955434,0.8238123872519543
2019-02-10 14:00:00,0.6357958513556472,1.7931807964146396,0.5148686542175263,-0.32745875513052747,0.8415388457972086,42.85151668014772,100.0,86.04005148748452,0.6307063911580979,0.7148005766458576
2019-02-10 14:15:00,0.599248351098236,1.7632324580829861,0.4938583975714339,-0.3473118510248896,0.8405543469127027,43.24186580478553,100.0,94.81964979166314,0.6186186186186049,0.7027027027026955
2019-02-10 14:30:00,0.7968451429435586,1.976155301325444,0.7316209725208189,-0.15011362843219134,0.879178357594489,37.939406780761345,0.0,66.66666666666673,0.8487840115579015,0.9330604382374208
2019-02-10 14:45:00,0.3823545685573082,1.5569563387219265,0.3380266402869925,-0.5442863836614964,0.883223891614633,49.51797125879068,100.0,66.66666666666673,0.44969420793858905,0.5336371267538054
2019-02-10 15:00:00,0.2864687618649553,1.4571334096423083,0.25840016279530253,-0.6286374021914343,0.8886826821013302,51.581538226996926,100.0,66.66666666666673,0.3654445243230109,0.4493170381020706
2019-02-10 15:15:00,0.5182889855495976,1.696015927532346,0.5115103837492141,-0.3769758492147113,0.8878889743145305,45.56411393467534,55.89087881144821,85.29695960381612,0.6186186186186049,0.7027027027026955
2019-02-10 15:30:00,0.3473890725436579,1.5221608357496752,0.3624280328275775,-0.5147427365934876,0.8778393085922629,49.492221349936855,84.68482080462142,80.19189987202327,0.461741424802109,0.5456944111297712
2019-02-10 15:45:00,0.2759856783932646,1.446777638028074,0.3122307191284035,-0.5495554224725696,0.8628099722044621,50.95803006967681,89.63828829361871,76.73799596989618,0.40153422030444474,0.4854368932038833
2019-02-10 16:00:00,0.2998186797077862,1.4685103863056437,0.33413647152367165,-0.511594505096824,0.8464820518223601,50.02003838832755,74.05036170273222,82.79115693365752,0.4376498800959139,0.5215827338129531
2019-02-10 16:15:00,0.13808330375464362,1.2975514786512932,0.1738638774452017,-0.664705491236639,0.8406324556374977,53.973697526877984,100.0,87.89621666545037,0.28133604692923697,0.365138273674126
